microsample	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	cycles
M301570	Caecum right	Positive	MSEB0015	G121eI104C	B11	10622.69968	46523.96506	4976	15
M301571	Caecum right	Positive	MSEB0015	G121eI104C	B11	11163.68876	46464.93372	4976	15
M301572	Caecum right	Positive	MSEB0015	G121eI104C	B11	11574.91644	46452.86654	4976	15
M301573	Caecum right	Positive	MSEB0015	G121eI104C	B11	12078.09608	46438.84252	4976	15
M301576	Caecum right	Positive	MSEB0015	G121eI104C	B11	13566.0359	46499.60456	4976	15
M301577	Caecum right	Positive	MSEB0015	G121eI104C	B11	13976.23738	46491.45106	4976	15
M301578	Caecum right	Positive	MSEB0015	G121eI104C	B11	12406.356	44865.24284	5140	15
M301579	Caecum right	Positive	MSEB0015	G121eI104C	B11	12373.86814	45172.40334	5140	15
M301580	Caecum right	Positive	MSEB0015	G121eI104C	B11	12519.61496	45558.77052	5140	15
M301582	Caecum right	Positive	MSEB0015	G121eI104C	B11	12463.19274	46128.53866	5140	15
M301583	Caecum right	Positive	MSEB0015	G121eI104C	B11	12444.05048	47534.52736	5140	15
M301584	Caecum right	Positive	MSEB0015	G121eI104C	B11	12501.67726	49070.79602	5140	15
M301587	Caecum right	Positive	MSEB0015	G121eI104C	B11	11275.81554	48031.12556	4976	15
M301588	Caecum right	Positive	MSEB0015	G121eI104C	B11	11512.58362	47676.07476	4976	15
M301589	Caecum right	Positive	MSEB0015	G121eI104C	B11	11919.21336	47403.24194	4976	15
M301591	Caecum right	Positive	MSEB0015	G121eI104C	B11	13464.0061	47206.50784	4976	15
M301592	Caecum right	Positive	MSEB0015	G121eI104C	B11	14335.66872	47132.40912	4976	15
M301593	Caecum right	Positive	MSEB0015	G121eI104C	B11	14072.68786	48229.9088	4976	15
M301594	Caecum right	Positive	MSEB0015	G121eI104C	B11	11274.23834	45873.3246	5306	15
M301595	Caecum right	Positive	MSEB0015	G121eI104C	B11	11630.1438	45793.02248	5306	15
M301597	Caecum right	Positive	MSEB0015	G121eI104C	B11	12159.4578	45823.12736	5306	15
M301598	Caecum right	Positive	MSEB0015	G121eI104C	B11	12544.71336	45818.00912	5306	15
M301599	Caecum right	Positive	MSEB0015	G121eI104C	B11	12991.44836	45806.04194	5306	15
M301601	Caecum right	Positive	MSEB0015	G121eI104C	B11	13167.91002	45805.48966	5306	15
M301602	Caecum right	Positive	MSEB0015	G121eI104C	B11	14100.7551	45507.11548	4976	15
M301603	Caecum right	Positive	MSEB0015	G121eI104C	B11	13995.41188	46086.12248	4976	15
M301604	Caecum right	Positive	MSEB0015	G121eI104C	B11	13643.37694	46727.2824	4976	15
M301606	Caecum right	Positive	MSEB0015	G121eI104C	B11	13595.2605	47410.63834	4976	15
M301608	Caecum right	Positive	MSEB0015	G121eI104C	B11	13596.36506	48006.83212	4976	15
M301609	Caecum right	Positive	MSEB0015	G121eI104C	B11	13573.00912	48179.36018	4976	15
M301618	Caecum right	Positive	MSEB0015	G121eI104C	B11	10880.39024	47181.58112	5216	15
M301620	Caecum right	Positive	MSEB0015	G121eI104C	B11	11177.6133	47177.76744	5216	15
M301621	Caecum right	Positive	MSEB0015	G121eI104C	B11	11837.50238	47108.93012	5216	15
M301622	Caecum right	Positive	MSEB0015	G121eI104C	B11	12228.07868	47018.1632	5216	15
M301624	Caecum right	Positive	MSEB0015	G121eI104C	B11	12238.06288	47161.33866	5216	15
M301625	Caecum right	Positive	MSEB0015	G121eI104C	B11	11066.91824	47442.8341	5216	15
M301626	Caecum right	Positive	MSEB0015	G121eI104C	B11	12089.36378	48106.16384	4976	15
M301627	Caecum right	Positive	MSEB0015	G121eI104C	B11	12291.68054	48099.18876	4976	15
M301629	Caecum right	Positive	MSEB0015	G121eI104C	B11	12553.1693	47697.32826	4976	15
M301631	Caecum right	Positive	MSEB0015	G121eI104C	B11	12925.6	47760.37328	4976	15
M301632	Caecum right	Positive	MSEB0015	G121eI104C	B11	13655.3237	47737.86962	4976	15
M301633	Caecum right	Positive	MSEB0015	G121eI104C	B11	14190.2937	47733.95594	4976	15
M301634	Caecum right	Positive	MSEB0015	G121eI104C	B11	12278.52954	46523.46192	5140	15
M301636	Caecum right	Positive	MSEB0015	G121eI104C	B11	12327.51278	46664.42608	5140	15
M301638	Caecum right	Positive	MSEB0015	G121eI104C	B11	12137.6993	46789.01156	5140	15
M301639	Caecum right	Positive	MSEB0015	G121eI104C	B11	NA	NA	NA	15
M301640	Caecum right	Positive	MSEB0015	G121eI104C	B11	12812.0456	46716.83462	5140	15
M301641	Caecum right	Positive	MSEB0015	G121eI104C	B11	NA	NA	NA	15
M301642	Caecum right	Positive	MSEB0015	G121eI104C	B11	12937.14104	44877.33044	4976	15
M301643	Caecum right	Positive	MSEB0015	G121eI104C	B11	12939.75016	45159.48272	4976	15
M301645	Caecum right	Positive	MSEB0015	G121eI104C	B11	12904.57932	45706.44284	4976	15
M301646	Caecum right	Positive	MSEB0015	G121eI104C	B11	12938.69788	46308.37052	4976	15
M301647	Caecum right	Positive	MSEB0015	G121eI104C	B11	12946.2991	47528.6228	4976	15
M301648	Caecum right	Positive	MSEB0015	G121eI104C	B11	12895.09512	48524.79512	4976	15
